P055	小學	青山天主教小學     CASTLE PEAK CATHOLIC PRIMARY SCHOOL     http://cpcps.edu.hk	新界屯門屯門鄉事會路２號	2 TUEN MUN HEUNG SZE WUI ROAD TUEN MUN NEW TERRITORIES
P056	小學	天主教總堂區學校     CATHOLIC MISSION SCHOOL     http://www.cms.edu.hk/	香港中環律打街	RUTTER STREET CENTRAL HONG KONG
P057	小學	中華基督教會長洲堂錦江小學     CCC CHEUNG CHAU CHURCH KAM KONG PRI SCH     http://www.ccckamkongsch.edu.hk	新界長洲山頂道西一號	NO.1 PEAK ROAD WEST CHEUNG CHAU NEW TERRITORIES
P058	小學	中華基督教會基順學校     CCC KEI SHUN SPECIAL SCHOOL     http://www.ccckss.edu.hk	九龍觀塘順利邨（Ａ區）第一期屋邨小學校舍	ESTATE PRIMARY SCHOOL SHUN LEE ESTATE STAGE II (AREA A) PHASE 1 KWUN TONG KOWLOON
P059	小學	中華基督教會拔臣小學     CCC BUT SAN PRIMARY SCHOOL     http://www.butsan.edu.hk	新界屯門新墟青山公路２８號	28 CASTLE PEAK ROAD, SAN HUI TUEN MUN NEW TERRITORIES
P060	小學	中華基督教會全完第一小學     CCC CHUEN YUEN FIRST PRI SCHOOL     http://www.cyf.edu.hk	新界荃灣大屋街６－８號	6-8 TAI UK STREET TSUEN WAN NEW TERRITORIES
P061	小學	中華基督教會全完第二小學     CCC CHUEN YUEN SECOND PRIMARY SCHOOL     http://www.chuenyuen2.edu.hk	新界荃灣大窩口上角街三號	3 SHEUNG KOK STREET TAI WO HAU TSUEN WAN NEW TERRITORIES
P062	小學	中華基督教會元朗真光小學     CCC CHUN KWONG PRIMARY SCHOOL     http://www.ckps.edu.hk	新界元朗鐘聲徑	CHUNG SING PATH YUEN LONG NEW TERRITORIES
P063	小學	中華基督教會方潤華小學     CCC FONG YUN WAH PRIMARY SCHOOL     http://www.cccfyw.edu.hk/	新界天水圍天耀邨第二期屋邨小學校舍	ESTATE PRIMARY SCHOOL TIN YIU ESTATE PHASE II TIN SHUI WAI NEW TERRITORIES
P064	小學	中華基督教會協和小學（長沙灣）     CCC HEEP WOH PRI SCH (CHEUNG SHA WAN)     http://www.heepwohcsw.edu.hk/	九龍深水埗東京街１８號	18 TONKIN STREET SHAM SHUI PO KOWLOON
